name,id,tags,planetary,decivRemove,script,desc,icon,order
도시화된 정치체,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,인구 밀도가 높고 다양한 도시 중심지입니다.,graphics/icons/markets/urbanized_polity.png,130
산업 정치체,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,번성하는 산업 중심지입니다. 지역 정부 정책이 산업 발전을 장려합니다.,graphics/icons/markets/urbanized_polity.png,130
농촌 정치체,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,농가와 폐쇄적인 마을로 이루어진 인구 희박 지역입니다. 외지인은 의심받습니다.,graphics/icons/markets/rural_polity.png,130
대규모 난민,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,재난을 피해 도망쳐 온 절박한 난민들이 이곳에 정착했습니다. 난민들은 사회 밑바닥에서 생활합니다.,graphics/icons/markets/refugee_population.png,140
볼턴 랍스터 양식장,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,여러 구지구 종과 상상력이 결합해 탄생한 생물로 볼턴의 바다에서 자생합니다.,graphics/icons/markets/lobster_pens.png,137
쾌락물 수요,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,이곳의 쾌락 상품 수요가 유난히 높습니다.,graphics/icons/markets/vice_demand.png,145
조직 범죄,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,범죄 조직이 마약과 적출 장기를 생산합니다. 중화기 수요를 높입니다.,graphics/icons/markets/organized_crime.png,148
변경 지대,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"도시 중심지에서 멀리 떨어진 지역으로, 생존과 자립이 최우선입니다.",graphics/icons/markets/frontier.png,130
함선 해체소,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"이 지역의 주요 함선 해체 거점으로, 폐선들이 이곳에서 해체됩니다.",graphics/icons/markets/shipbreaking.png,360
무역 중심지,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,이 지역의 주요 무역 거점입니다. 섹터 곳곳에서 상선이 모여듭니다.,graphics/icons/markets/trade_center.png,280
문명 붕괴,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,안정된 정치 세력이 없습니다. 문명이 붕괴되었으며 현 인구는 사실상 원시 상태입니다.,graphics/icons/markets/decivilized.png,130
문명 붕괴 하위 집단,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,$market의 일부 지역에 문명이 복구되었지만 대부분은 여전히 혼란스럽습니다.,graphics/icons/markets/decivilized.png,130
방치된 정거장,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,이 정거장은 방치되어 있습니다.,graphics/icons/markets/abandoned.png,130
가내 공업,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,$Market에는 저기술 노동 집약적 경공업 기반이 상당히 형성되어 있습니다.,graphics/icons/markets/cottage_industry.png,230
전초 기지,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,$Market은 엄격한 공식 지휘 체계를 갖춘 주둔지처럼 운영됩니다.,graphics/icons/markets/outpost.png,130
러드파 다수,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
스텔스 지뢰밭,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,은폐된 지뢰 네트워크가 $market을 외부의 방해로부터 보호합니다. 안정도를 높입니다.,graphics/icons/markets/stealth_mines.png,510
지역 수도,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"행정, 보안, 물류의 주요 거점입니다. 안정도를 높입니다.",graphics/icons/markets/capital.png,500
자유 항구,free_market,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,현지 항만청이 화물 거래에 거의 규제를 두지 않습니다. 이민 통제도 느슨합니다.,graphics/icons/markets/free_port.png,141
이민 제한,closed_immigration,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,공식적으로 $market으로의 이민은 허용되지 않습니다. 전반적인 인구 증가가 둔화됩니다.,graphics/icons/markets/vice_demand.png,142
,,,,,,,,
거주 불가능 행성,uninhabitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"$market의 표면은 유기 생명체가 생존할 수 없으며, 농업은 불가능합니다.",graphics/icons/markets/uninhabitable_wide.png,10
얼음 행성,ice,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,$Market의 평균 기온은 물의 어는점보다 훨씬 낮습니다.,graphics/icons/markets/ice_world_wide.png,10
사막 행성,desert,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$Market은 사막 행성입니다. 건생식물 생태계가 호흡 가능한 대기를 유지합니다.,graphics/icons/markets/desert_world_wide.png,10
건조 행성,arid,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,$Market은 광대한 건조 평원과 황무지로 덮여 있습니다. 물이 부족하고 대규모 농업이 어렵습니다.,graphics/icons/markets/arid_world_wide.png,10
수상 행성,water,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"$Market의 기후는 생명체에 우호적이지만, 농업은 주로 수산업에 한정됩니다.",graphics/icons/markets/water_world_wide.png,10
정글 행성,jungle,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,$Market은 울창한 식생과 이국적인 생물로 가득한 습하고 따뜻한 정글 행성입니다.,graphics/icons/markets/jungle_world_wide.png,10
지구형 행성,terran,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,$Market은 섹터에서 구지구의 환경과 가장 유사하여 이상적인 거주 조건을 제공합니다.,graphics/icons/markets/terran_world_wide.png,10
불모 한계 행성,barren_marginal,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"열악하고 용서 없는 환경으로, 방호복 없이는 간신히 생존할 수 있습니다.",graphics/icons/markets/barren_desert_wide.png,10
황혼 행성,twilight,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,주성에 조석 고정된 $market은 낮이 연 길이인 테라포밍된 행성입니다.,graphics/icons/markets/twilight_terran_world.png,10
툰드라 행성,tundra,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"테라포밍으로 $market에 지구형 생태계가 자리 잡았지만, 여전히 혹독하게 춥습니다.",graphics/icons/markets/tundra_terran_wide.png,10
빙화산 행성,cryovolcanic,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"극한의 추위로 얼어붙은 행성으로, 메탄 눈이 내리고 빙화산이 분출합니다.",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,,
반체제 인구,dissident,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$Market은 반체제 인사, 반란군, 자유 사상가, 예술가 등의 유배지입니다.",graphics/icons/markets/dissidents.png,139
사령부,headquarters,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,$Market은 집권 세력의 군사 지휘 및 물류 운영의 중심지입니다. 군사력을 크게 높입니다.,graphics/icons/markets/headquarters.png,360
수경 재배 단지,hydroponics_complex,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"밀폐 생태계 농업 시설로, 궤도 또는 거주 불가능한 표면에서 농업을 가능하게 합니다.",graphics/icons/markets/hydroponics.png,120
,,,,,,,,
인구,population_1,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,이곳에는 수십 명만이 영구 거주합니다.,graphics/icons/markets/population01.png,20
