id,trigger,conditions,script,text,options,notes
defaultOpenDialog,OpenInteractionDialog,,,,defaultLeave:떠나기,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,,자율 경고 비콘이 여러 채널에 걸쳐 왜곡된 울부짖음을 내보내고 있습니다.,,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:떠나기,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,,,stellarMirrorLeave:떠나기,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,,,stellarShadeLeave:떠나기,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""센서, 저게 뭔지 확인해.""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:떠나기,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,,"You join your technology officer and engineering chief in a small briefing room overlooking the shop bay dedicated to what has been euphemistically dubbed ""special salvage"".Haz-suited technicians attend to the containment machinery, stepping over coils of tube and wire. A mess of makeshift components were pulled from the common microforge libraries then torn apart and re-engineered to operate in this unusual, even extraordinary, application.Engineering wears a frown, tapping a TriPad as they observe the ongoing work. Tech can barely contain their excitement. ""$PlayerSirOrMadam,"" they say in unison at your arrival.","shroudedSubstrateBegin:""So. What is it?""defaultLeave:떠나기","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
gsVambOptHubLeave,gsVambraceHubOpts,,,,defaultLeave:떠나기,
gh_exploreSel2,DialogOptionSelected,$option == gh_explore2,,"작전 책임자가 인양팀에게 데이터 연결을 우선시하도록 명령하고, 고대 프로토콜을 통해 곧 연결됩니다. 기술 장교의 인터페이스에 호박색 오류 코드의 벽이 빛납니다.곧 부분적인 답변을 얻습니다: 게이트 운반선의 거대하지만 원시적인 알쿠비에레 드라이브 시스템 작동이...","gh_explore3:""하지만 아무도 나타나지 않았군요.""",
