id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,우주 전투 역사 전반에 걸쳐 근거리에서 미사일과 전투기를 상대로 효과적으로 사용되어 온 저비용의 연사 무기 범주입니다. 제대로 장갑을 갖춘 목표물에는 거의 무용지물입니다. 제조 및 개조가 쉬운 덕분에 수백 가지 변형이 존재합니다. 일정 구경 이하의 화학 추진 불활성 탄환을 연사하는 무기는 — 조잡한 자동 단조기로도 쉽게 생산 가능 — 경량 함선 탑재 기관총으로 분류됩니다. 저렴한 비용 덕분에 소형 민간 선박에서 인기가 높습니다. 탄환 핵심부는 급탄 및 관통력 향상을 위해 경금속으로 피복됩니다. 원시적인 설계임에도 불구하고 근거리에서 놀라울 정도로 높은 운동 에너지를 전달합니다.,,,,,
lightdualmg,WEAPON,"유서 깊은 경기관총의 업그레이드 쌍발 버전입니다. 중장갑 목표물에는 그다지 효과적이지 않지만, 인류 우주 전투 여명기부터 대미사일 및 대전투기 역할에서 탁월한 성능을 발휘해 왔습니다. 구역의 모든 조종사와 무기 담당자들이 알고 있는 고속 연사 불활성 소구경 화학 탄환 무기의 쌍발 탑재형입니다. 미사일 차단과 대전투기 역할 모두에서 탁월한 점방어 탑재 무기입니다. 근거리에서 적 함선의 방어막 시스템에 전달되는 대량의 운동 에너지는 방출기 과부하를 일으키는 경우가 많은데, 이 전술적 옵션은 경험 부족한 함장들이 종종 간과합니다.",,,,,
lightmortar,WEAPON,"낮은 발사 속도, 초구 속도, 사거리로 대장갑 포탄을 발사하는 구식 무기입니다. 낮은 플럭스 축적이 유일한 장점입니다. 경박격포 설계도는 원래 우주선용이 아니었으나, 약실 장전 메커니즘의 기발한 개조 덕분에 대기권 밖 환경에서도 설치 및 사용이 가능해졌습니다. 전투에서 경박격포는 형편없는 포탑 회전 속도와 발사 속도로 인해 빠르게 움직이거나 방어막을 가진 목표물에는 성능이 저조합니다. 그럼에도 우주 탄도 전술의 세부 사항을 신참 포술 장교에게 훈련시키는 용도로 자주 사용됩니다. 낮은 무게와 비용 덕분에 개인 요트나 단독 행성 간 차량에 흔히 장착됩니다.",,,,,
heavymortar,WEAPON,"소형 버전보다 약간 높은 발사 속도로 더 큰 대장갑 포탄을 발사하는 구식 무기입니다. 탄환 속도가 낮고 유효 사거리가 짧습니다. 낮은 플럭스 축적이 유일한 장점입니다. 중박격포는 원래 행성 지상전용으로 설계되었습니다. 표면상 군사 요새를 격파하기 위해 설계되었으나, 실제로는 도시 포격에 훨씬 많이 사용되었습니다. 내부 메커니즘이 견고하여 자동 거리측정/조준 모듈 교체 등 소폭 조정만으로 대기권 밖 환경에서 설치 및 사용이 가능합니다. 크고 방어막 없는 느린 목표물에 사용할 때 가장 효과적입니다.",,,,,
vulcan,WEAPON,"근거리에서 미사일과 전투기를 상대로 특히 강력한 연사 탄도 점방어 무기 시스템입니다. 장시간 연사 시 정확도가 급격히 저하됩니다. 이 다열 무기 플랫폼은 헤게모니 공인 나노단조기에서 주로 제조되는 고급 타이밍 메커니즘을 핵심으로 구성됩니다. 탄환은 보통 열화우라늄 팁이 달린 비폭발성 탄환입니다. 다열 구조로 극도로 높은 발사 속도를 구현하지만, 높은 플럭스 비용이 따릅니다.",,,,,
lightac,WEAPON,"경량 차대치고 사거리가 좋은 소구경 오토캐논입니다. 적 방어막을 상대하도록 설계되었으며, 소형 선체에 사용되는 약한 발생기에 특히 효과적입니다. 우수한 화력 지원 무기인 고속 운동 탄환을 소형 함선에 제공합니다. 복잡한 자동 급탄 장치와 수냉식 냉각으로 인한 낮은 포탑 회전 속도 때문에 경기관총은 전투기와 미사일 방어에는 적합하지 않습니다.",,,,,
lightdualac,WEAPON,"경기관총의 쌍발 버전입니다. 근거리 지원 무기로 탁월하며 방어막을 무너뜨리는 데 매우 효과적이지만, 높은 반동으로 인해 유효 사거리가 짧습니다. 표준 경기관총 차대보다 두 배나 많은 소모된 탄피를 배출하는 동시에 배출구 막힘을 방지하는 기발한 기계 설계입니다. 단발 버전과 마찬가지로 적 방어막을 관통하는 고속 탄환을 발사합니다.",,,,,
lightag,WEAPON,"근거리 전투에 특화된 소구경 캐논으로, 장갑에 탁월하고 뛰어난 발사 속도를 자랑합니다. 고폭탄을 발사하도록 설계된 소구경 캐논입니다. 냉각 시스템과 자동 급탄 장치의 설계는 높은 플럭스 수준에서 발생할 수 있는 조기 점화 방지와 안전성을 강조합니다. 뭔가를 증명하고 싶은 구축함 함장들이 선호합니다.",,,,,
fragbomb,WEAPON,발사 함선의 운동량을 유지하는 자유 부유 소형 폭탄 군집을 방출합니다. 폭탄에는 근접 신관이 장착되어 있습니다. 파편 폭탄 발사기는 세 개의 발사관에서 마크 VI 파편 소형 폭탄을 발사합니다. 유도 장치와 추진 시스템이 없는 폭탄은 아군 식별 시스템에 의존합니다. 방대한 수량으로 넓은 우주 공간을 커버하여 해당 위치에 사실상 점방어 장벽을 일시적으로 형성합니다. 근접 신관이 적 함선에 의해 작동되면 폭탄이 폭발하여 플랙 무기와 유사한 효과를 냅니다.,,,,,
clusterbomb,WEAPON,자유 부유하는 고폭 소형 폭탄 군집을 방출합니다. 방어막 없는 느린 목표물에 더 효과적입니다. 집속 폭탄 발사기는 수십 개의 마크 II 폭발성 형성 관통자 소형 폭탄을 세 개의 발사관에서 발사합니다. 폭탄은 유도 장치와 추진 시스템이 없어 발사 함선의 초기 운동량에 의존합니다. 아군 식별 스캐너가 장착되어 있어 적절한 목표물에만 폭발합니다. 성형 폭발물은 방어막 없는 목표물에 매우 효과적입니다.,,,,,
