id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,인구 및 기반시설,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"주어진 인구를 부양하는 데 필요한 기본 기반시설입니다. 낡은 궤도 거주 모듈부터 정교한 행성 표면 시설까지, 이것이 없으면 다른 모든 것이 무너집니다.",100,
farming,농업,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"농업은 문명만큼이나 오래된 기술입니다. 수천 사이클 동안 인류는 작물을 재배하고 가축을 길러왔으며, 세월이 흐르며 그 기술은 점점 정교해졌습니다.",200,LOW
aquaculture,수산업,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,수상 행성에서의 농업은 적합한 종의 유전공학적 개발에 상당한 초기 투자가 필요합니다.,210,MEDIUM
mining,채굴,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"금속 광석, 유기물, 휘발성 화합물 모두 중장비와 특수 기반시설이 필요합니다.",300,MEDIUM
techmining,기술 발굴,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,기술 발굴은 도메인 유적에서 귀중한 유물을 회수하는 잡다한 기술입니다. 특수 도구와 전문 인력이 필요합니다.,400,MEDIUM
refining,정제,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,제련 공장에서 광석과 트랜스플루톤 광석을 각각 금속과 트랜스플루토닉으로 변환합니다.,500,MEDIUM
spaceport,우주항,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,화물 선적·하역 및 기본 우주선 수리를 위한 시설입니다.,150,HIGH
megaport,메가포트,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,별들이 땅에 닿을 수 있는 광대한 우주항입니다.,151,EXTREME
lightindustry,경공업,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,생활용품과 사치품을 생산합니다.,1400,MEDIUM
heavyindustry,중공업,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"중장비, 보급품, 무기 생산을 위한 중앙화된 제조 기반시설입니다.",1600,HIGH
orbitalworks,궤도 공장,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"중장비, 보급품, 함선 생산을 위한 궤도 제조 기반시설입니다.",1700,HIGH
fuelprod,연료 생산,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,이 시설은 성간 문명의 생명줄인 우주선 연료를 생산합니다.,1800,HIGH
#advfuelprod,고급 연료 생산,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,거대한 도메인 기술 시설이 성간 문명의 생명줄인 함선 연료를 생산합니다.,1900,
commerce,상업,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"번창하는 독립 무역을 장려하는 규제, 보조금, 기반시설입니다.",1950,MEDIUM
station_base,궤도 정거장,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,$marketName 인근에서 아군 함대를 지원할 수 있는 우주 정거장입니다.,2000,
orbitalstation,궤도 정거장 - 저기술,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:궤도 정거장,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,중장갑과 중화력을 갖춘 저기술 우주 정거장입니다.,2010,
