# jar	class	constant_pool_index	old_base64	new_base64
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	36	RGVsaXZlcmluZyByZXNvdXJjZXMgdG8=	7J6Q7JuQIOuCqe2SiCDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	45	RGVsaXZlcmluZyBzdXBwbGllcyB0bw==	67O06riJ7ZKIIOuwsOyGoSDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	50	RGVsaXZlcmluZyBmdWVsIHRv	7Jew66OMIOuCqe2SiCDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	55	RGVsaXZlcmluZyBwZXJzb25uZWwgdG8=	7J247JuQIOydtOyGoSDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	60	RGVsaXZlcmluZyBjcmV3IHRv	7Iq566y07JuQIOydtOyGoSDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	65	RGVsaXZlcmluZyBtYXJpbmVzIHRv	7ZW067OR64yAIOydtOyGoSDspJE6
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	70	UmVzdXBwbHlpbmcgYXQ=	67O06riJIOykkTo=
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	80	UGF0cm9sbGluZyBzeXN0ZW0=	7Iic7LCwIOyLnOyKpO2FnA==
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	108	UmV0dXJuaW5nIHRv	67O16reAIOykkQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/FleetAssignment.class	128	U3RhbmRpbmcgZG93bg==	6rK96rOEIO2VtOygnA==
starfarer.api.jar	com/fs/starfarer/api/campaign/PersonImportance.class	23	VmVyeSBMb3c=	66ek7JqwIOuCruydjA==
starfarer.api.jar	com/fs/starfarer/api/campaign/PersonImportance.class	38	TWVkaXVt	67O07Ya1
starfarer.api.jar	com/fs/starfarer/api/campaign/PersonImportance.class	50	VmVyeSBIaWdo	66ek7JqwIOuGkuydjA==
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	36	VmVuZ2VmdWw=	67O17IiY7Ius
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	49	SG9zdGlsZQ==	7KCB64yA7KCB
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	57	SW5ob3NwaXRhYmxl	64OJ64yA
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	65	U3VzcGljaW91cw==	7J2Y7Ius
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	73	TmV1dHJhbA==	7KSR66a9
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	78	RmF2b3JhYmxl	7Zi46rCQ
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	83	V2VsY29taW5n	7ZmY7JiB
starfarer.api.jar	com/fs/starfarer/api/campaign/RepLevel.class	88	RnJpZW5kbHk=	7Jqw7Zi47KCB
starfarer.api.jar	com/fs/starfarer/api/campaign/econ/MonthlyReport.class	268	Q29sb25pZXM=	7Iud66+87KeA
starfarer.api.jar	com/fs/starfarer/api/campaign/econ/MonthlyReport.class	328	U3RvY2twaWxlcyB1c2VkIHRvIGNvdW50ZXIgc2hvcnRhZ2Vz	67aA7KGx67aE7J2EIOuztOy2qe2VmOuKlCDrjbAg7IKs7Jqp65CcIOu5hOy2leufiQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/econ/MonthlyReport.class	354	U3RvY2twaWxlcyBkcmF3biBieSB5b3VyIGZsZWV0	6reA7ZWY7J2YIO2VqOuMgOqwgCDshozrqqjtlZjripQg67mE7LaV65+J
starfarer.api.jar	com/fs/starfarer/api/campaign/econ/MonthlyReport.class	357	TGFzdCBtb250aCdzIGRlYnQ=	7KeA64Kc64usIOu2gOyxhA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin$3.class	50	ZmlnaHRlciBMUEM=	7KCE7Yis6riwIOuwnOyCrCDsupDri4jsiqTthLA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin$3.class	52	ZmlnaHRlciBMUENz	7KCE7Yis6riwIOuwnOyCrCDsupDri4jsiqTthLA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	177	QmFzZSB2YWx1ZTogJXM=	6riw67O4IOqwgOy5mDogJXM=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	259	Q2FuIG5vdCByZW1vdmUgaXRlbQ==	7JWE7J207YWc7J2EIOygnOqxsO2VoCDsiJgg7JeG7Iq164uI64uk
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	303	U2VsbHMgZm9yOiA=	7YyQ66ek6rCAOiA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	310	IHBlciB1bml0Lg==	64uo7JyE64u5Lg==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	319	UHJpY2U6IA==	6rCA6rKpOiA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	321	QmFzZSB2YWx1ZTog	6riw67O4IOqwgOy5mDog
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin.class	422	Li4uIGFuZCAlcyBvdGhlciA=	Li4uIOuwjyAlcyDri6Trpbg=
