id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,조타술,10,1,0,,"믹스를 딱 맞게 밀었을 때, [허밍]처럼 노래가 되거든요. 별부터 뼈끝까지 세상이 제자리에 있는 느낌. 교대 마치고 나오면 방금 잠에서 깬 것 같아요. [웃음] 말로는 못 해요.","Nachiketa Portside Interview Project, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,전투 지구력,20,1,0,,재난을 겪으면서도 14대는 견뎌냈습니다. 헤게모니를 통해 도메인은 지속됩니다. 의무를 통해 인류는 견뎌야 합니다.,"Admiral Kali Molina, the Declaration of Hegemony, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,충격 완화,30,2,0,,이 기동은 비스듬한 충격 각도를 만들어 포탄의 운동량을 페로폼 아플리케로 분산시켰습니다. 일상적인 중장비 이동 중에 Spacer York의 비극적인 종말을 가져온 것은 불행한 충격의 타이밍이었습니다.,"Thule skirmish of c120.03.08, AAR submitted by Navarch Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,손상 통제,40,2,0,,잃어버린 것은 잃어버린 것입니다. 그 구획을 불태우고 다음 시간 동안 우리를 볼 수 있는 일에 노력을 집중하십시오.,"Navarch Tethys, final address to the crew of the PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,야전 조정,50,2,0,,내가 '액티브 튜닝'이라고 생각하는 재능을 가진 사람은 거의 없습니다. 나는 음악가가 최고의 야전 장교가 된다고 생각합니다.,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,점방어,60,3,0,,"나요, 레이저 같은 건 안 씁니다. 물론 대단한 빛의 쇼를 보여주긴 하죠. 하지만 좋은 Vulcan 매트릭스에서 나오는 DU 탄막처럼 들어오는 포화를 막을 수 있는 건 없습니다.","""Lower Deck Heroes"", a HEGCOM serial",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,표적 분석,70,4,0,,기계의 도움을 받는 인간의 정신은 상충되는 센서 데이터와 모순되는 전술적 지시에도 불구하고 효과적인 솔루션을 직관할 수 있습니다. 타겟팅 컴퓨터만으로는 전사를 완전히 대체할 수 없습니다.,"""On Space Combat, XXII ed."", from Domain Battlegroup XIV library ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,탄도 숙달,80,4,0,,"뭐가 Tri-Tach의 음모를 막았냐? (총!) 루드 영감이 잊어버린 게 뭐냐? (총!) 우리가 있고 걔네가 없는 게 뭐냐? (크고, 크고, 총!)",drinking song of the Hegemony navy,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,시스템 전문화,90,5,4,2,"아니요, 저는 그것이 모순이라고 생각하지 않습니다. 그건, 어, 영적인 여행이에요. 당신은 테스트를 받았습니다. 그리고 악마는 디테일에 있다는 말이 있죠.","""Ludd's Footsoldiers"" holodoc, interview with Pather engineer",TRUE,,,,graphics/icons/skills/systems_expertise.png,
