event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,$market $atOrOn 식량 부족 가능성,"차단된 통신 및 기타 소식으로 얻은 정보 분석 결과, $market에서 수 주 내 식량 부족이 발생할 가능성이 높습니다.",부족이 발생할 경우 $market $atOrOn 식량 가격 상승 및 안정도 감소.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,$market $atOrOn 식량 부족 임박,이 보고서는 $market에서 식량 부족이 거의 확실하게 발생할 것임을 나타냅니다.,$market에 충분한 식량을 신속히 공급하면 부족의 지속 시간과 영향을 줄일 수 있습니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,$market $atOrOn 식량 부족 임박,이 보고서는 $market에서 식량 부족이 거의 확실하게 발생할 것임을 나타냅니다.,$market에 충분한 식량을 신속히 공급하면 부족의 지속 시간과 영향을 줄일 수 있습니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,$market $atOrOn 식량 부족 임박,이 보고서는 $market에서 식량 부족이 거의 확실하게 발생할 것임을 나타냅니다.,$market에 충분한 식량을 신속히 공급하면 부족의 지속 시간과 영향을 줄일 수 있습니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,$market $atOrOn 식량 부족 발생,$market $atOrOn 식량 부족이 발생했습니다.,$market $atOrOn 식량 가격 상승. 안정도 $stabilityPenalty 감소.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,$market $atOrOn 식량 부족 발생,$market $atOrOn 식량 부족이 발생했습니다.,$market $atOrOn 식량 가격 상승. 안정도 $stabilityPenalty 감소.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,$market $atOrOn 식량 부족 발생,$market $atOrOn 식량 부족이 발생했습니다.,$market $atOrOn 식량 가격 상승. 안정도 $stabilityPenalty 감소.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,$market $atOrOn 식량 구호 함대,$market $atOrOn 식량 부족을 해소하기 위한 구호 함대가 파견될 예정입니다.,구호 함대를 차단하면 부족 상황이 악화됩니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",$market $atOrOn 식량 구호 함대,$market $atOrOn 식량 부족을 해소하기 위한 구호 함대가 파견될 예정입니다.,구호 함대를 차단하면 부족 상황이 악화됩니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",$market $atOrOn 식량 구호 함대,$market $atOrOn 식량 부족을 해소하기 위한 구호 함대가 파견될 예정입니다.,구호 함대를 차단하면 부족 상황이 악화됩니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,$market $onOrAt 식량 부족: $reliefMarket에서 구호 함대 출발,"$reliefSystem 성계의 $reliefMarket에서 구호 함대가 출발했으며, $eta $marketSystem에 도착할 예정입니다.",함대는 식량 부족을 끝낼 만큼 충분한 식량을 싣고 있습니다. 예정대로 도착하지 못하면 $market의 상황은 더 불안정해질 것입니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,$market $onOrAt 식량 부족: 상황 악화,"초기에는 인근 행성이 구호를 보낼 수 있다는 관측이 있었지만, 그런 지원은 오지 않을 것으로 보입니다.",불안정도가 $stabilityPenaltyRelief 증가했습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,$market $onOrAt 식량 부족: 구호 함대 철수,$reliefMarket에서 출발한 구호 함대가 $market으로 향하던 중 공격을 받아 큰 손실을 입고 철수했습니다. 식량 부족은 계속되고 있습니다.,불안정도가 $stabilityPenaltyRelief 증가했습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,$market $onOrAt 식량 부족: 구호 함대 도착,"$reliefMarket에서 출발한 구호 함대가 도착했으며, $market $onOrAt 식량 부족이 끝났습니다.",불안정도가 $stabilityPenaltyEnd 증가했습니다. $market $onOrAt 식량 가격은 정상 수준으로 돌아왔습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,$market $onOrAt 식량 부족: 구호 함대 실종,"$reliefMarket에서 출발한 구호 함대가 목적지에 도착하지 못했으며, 식량 부족은 계속되고 있습니다.",불안정도가 $stabilityPenaltyRelief 증가했습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,$market $onOrAt 식량 부족 종료,"보고에 따르면 $market $onOrAt 식량 부족은 이제 끝났습니다. 엄격한 배급, 폭동 진압 조치, 여러 독립 상인의 도착 등 다양한 요인이 부족 사태를 끝낸 것으로 평가됩니다.",불안정도가 $stabilityPenaltyExpire 증가했습니다. $market $onOrAt 식량 가격은 정상 수준으로 돌아왔습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,$market $onOrAt 식량 부족 종료,"보고에 따르면 $market $onOrAt 식량 부족은 이제 끝났습니다. $playerName이 지휘한 구호 함대의 도착이 부족 사태를 끝낸 주요 원인으로 평가되지만, 현지 행정관도 자신의 공로를 빠르게 강조했습니다.",불안정도가 $stabilityPenaltyEnd 증가했습니다. $market $onOrAt 식량 가격은 정상 수준으로 돌아왔습니다.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,$market $onOrAt 식량 부족 종료,"보고에 따르면 $market $onOrAt 식량 부족은 이제 끝났습니다. 안타깝게도 식량 구호 배분의 상당 부분을 범죄 조직이 장악하면서, 그들의 입지가 강화되고 현지 당국은 재정적으로나 주민 신뢰 면에서 약화되었습니다.",불안정도가 $stabilityPenaltyEndBlack 증가했습니다. $market $onOrAt 식량 가격은 정상 수준으로 돌아왔습니다.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,$market $onOrAt 식량 부족 종료,보고에 따르면 $market $onOrAt 식량 부족은 이제 끝났습니다. $playerName이 지휘한 구호 함대가 적시에 도착해 부족 사태를 빠르게 끝내고 장기 피해를 줄인 것으로 평가됩니다.,$market $onOrAt 불안정도 증가는 없습니다. $market $onOrAt 식량 가격은 정상 수준으로 돌아왔습니다.,,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,$market $onOrAt 밀수 조사,"$market 암흑가의 연락책이 보낸 암호화 메시지에 따르면, $theMarketFaction 당국이 최근 밀수 활동에 대한 조사를 시작했습니다.",조사에서 당신의 밀수 관여가 밝혀지면 $theMarketFaction은 당신에게 적대적으로 변할 것입니다. $InvestigatorPost $investigatorName이 조사를 담당합니다. $invHimOrHer에게 연락하면 결과에 영향을 줄 수 있을지도 모릅니다. 조사는 $duration 동안 계속됩니다.,,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,$market $onOrAt 밀수 조사 - 혐의 없음,"$marketFaction의 밀수 조사가 끝났고, 당신의 혐의는 벗겨진 것으로 보입니다. 적어도 관여를 입증할 결정적 증거는 없었습니다.",$theMarketFaction와의 관계에는 영향이 없습니다.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,$market $onOrAt 밀수 조사 - 혐의 없음,"$investigatorName과의 ""특별한 합의""에 따라 $marketFaction의 밀수 조사가 마무리되었고, 당신의 평판에 남을 뻔한 이 오점은 지워졌습니다.",$InvestigatorPost $investigatorName에게 건넨 뇌물이 효과를 냈습니다. $theMarketFaction와의 관계에는 영향이 없습니다.,,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,$market $onOrAt 밀수 조사 - 유죄 판정,$marketFaction의 조사는 당신이 최근 밀수 활동에 실제로 관여했다고 결론 내렸습니다.,,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,$OtherFaction와의 관계에 대한 $MarketFaction 조사,"$market $onOrAt 연락책이 보낸 암호화 메시지에 따르면, $theMarketFaction 당국이 당신과 $theOtherFactionLong의 관계에 대한 조사를 시작했습니다.",조사 결과에 따라 $TheMarketFaction은 당신에게 적대적으로 변할 수 있습니다. $market $onOrAt $InvestigatorPost $investigatorName이 조사를 담당합니다. $invHimOrHer에게 연락하면 결과에 영향을 줄 수 있을지도 모릅니다. 조사는 $duration 동안 계속됩니다.,,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,$OtherFaction와의 관계에 대한 $MarketFaction 조사 - 혐의 없음,"$theOtherFactionLong와의 관계에 대한 $marketFaction 조사가 끝났고, $marketFaction의 이익에 반하는 행동을 했다는 혐의는 벗겨졌습니다.",$theMarketFaction와의 관계에는 영향이 없습니다.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,$OtherFaction와의 관계에 대한 $MarketFaction 조사 - 혐의 없음,"$investigatorName과의 ""특별한 합의""에 따라 $theOtherFactionLong와의 관계에 대한 $marketFaction 조사가 마무리되었고, $marketFaction의 이익에 반하는 행동을 했다는 혐의는 벗겨졌습니다.",$InvestigatorPost $investigatorName에게 건넨 뇌물이 효과를 냈습니다. $theMarketFaction와의 관계에는 영향이 없습니다.,,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,$OtherFaction와의 관계에 대한 $MarketFaction 조사 - 유죄 판정,$theOtherFactionLong와의 관계에 대한 $marketFaction 조사는 당신이 $theMarketFaction의 이익에 반하는 행동을 했다고 결론 내렸습니다. 앞으로 $theMarketFaction은 당신을 특히 의심스럽게 대할 것입니다.,,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,$name 통신 스니퍼와 연락 두절,$name에 설치한 통신 스니퍼가 보고를 중단했습니다. 보안 소프트웨어에 의해 제거되었을 가능성이 큽니다. 보안 로그를 수동 감사하면 스니퍼의 출처에 대한 조사가 시작될 수도 있습니다.,$name의 통신 스니퍼는 더 이상 작동하지 않습니다.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,$name의 통신 스니퍼가 당신과 연결됨,"$name의 보안 로그를 철저히 감사한 결과, 보안 침해의 책임이 당신에게 돌아갔습니다.",,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,$marketSystem 성계 $market $onOrAt 무역 차질,$market을 오가는 무역 함대 중 상당수가 목적지에 도착하지 못하고 있습니다. 보고서는 해적 행위나 전쟁을 가장 유력한 원인으로 지목합니다.,"가격은 두 달 안에 정상으로 돌아갈 가능성이 큽니다. 영향을 받는 상품: $commoditySummary 자세한 내용은 ""가격""을 선택하고 지도 탭으로 전환하십시오.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,$marketSystem 성계 $market $onOrAt 밀수 활동,최근 밀수 활동의 영향으로 $market $onOrAt 상황이 더 불안정해졌습니다. 현지 당국은 전면 조사를 약속하고 있습니다.,안정도가 $smugglingPenalty 감소했습니다.,,graphics/icons/markets/smuggling.png,,,
